P08709	P13726
P13726	P07237
Q92890	P55072
P55072	Q9UNN5
P55072	Q13617
P55072	Q9UKV5
P55072	O94888
P55072	Q96CS3
P55072	Q13619
P60953	P42768
P60953	O15085
P60953	O60880
P60953	P46940
P60953	Q07960
P60953	Q9BVA6
P60953	Q9GZM8
P60953	Q9NR80
P60953	Q9UQB8
P60953	Q13153
P42768	O43516
P42768	P16333
P42768	Q9Y5X1
O15085	P61586
O60880	Q9BZW8
O60880	Q15052
O60880	P06241
O60880	Q13291
P46940	P19022
Q9BVA6	P63000
Q9GZM8	P18206
Q9GZM8	P49023
Q9NR80	P25054
Q9UQB8	Q12929
Q13153	P60228
Q13153	P46776
Q13153	Q13243
Q13153	Q01130
Q13153	Q15365
Q13153	P62424
Q13153	P63167
Q13153	Q99729
Q13153	P63000
Q13153	P21333
Q04917	Q99759
Q99759	P27348
Q99759	Q13163
Q99759	P31946
Q99759	P07900
Q99759	Q16543
Q99759	Q9UHV9
Q86XR7	Q02156
Q02156	Q15139
P17535	P15407
P17535	P28347
P17535	P38398
P17535	P53779
P15407	P05412
P15407	P18848
P15407	P28347
P15407	P23025
P15407	P22415
P28347	P05412
P38398	P05412
P38398	Q6UWZ7
P38398	P51587
P38398	O14965
P38398	Q92547
P38398	Q9NVH0
P38398	O14867
P38398	Q9BX63
P38398	P01106
P38398	Q01094
P38398	O75330
P38398	Q9ULW0
P38398	P17275
P38398	Q86YC2
P38398	Q13363
P38398	P10275
P38398	P18846
P38398	Q99728
P38398	P61956
P38398	P63165
P53779	P05412
P78371	Q8N3Y1
P78371	Q8IWZ6
Q8N3Y1	P63208
Q8N3Y1	Q13616
Q8N3Y1	P61758
Q8N3Y1	Q13617
Q8N3Y1	P84077
Q8N3Y1	P49368
Q8N3Y1	P40227
Q8N3Y1	O14737
Q8N3Y1	Q92526
Q8N3Y1	O75147
Q8N3Y1	Q14999
Q8N3Y1	Q99832
Q8IWZ6	P50991
Q8IWZ6	P49368
Q8IWZ6	Q8N3I7
Q8IWZ6	Q96RK4
Q8IWZ6	P17987
Q8IWZ6	Q9BXC9
Q8IWZ6	Q9NPJ1
Q8IWZ6	Q8NFJ9
P32881	P48551
P48551	P01574
P48551	P01569
P48551	P01563
Q8TEY7	Q9Y6N7
Q9Y6N7	P98171
Q9Y6N7	O94813
Q9Y6N7	O75044
P30626	P28676
P30626	P40763
P40763	Q8WTS6
P40763	P43405
P40763	P32119
P40763	P49368
P40763	P10599
P61160	O15144
P61160	O15143
P61160	O15511
P61160	Q92747
P61160	Q9BPX5
O15144	P61158
O15144	O15511
O15144	O15143
O15144	Q92747
O15144	O15145
O15144	Q9BPX5
O15144	O00401
O15144	P59998
O15143	P61158
O15143	O15511
O15143	O15145
O15143	Q9BPX5
O15143	P59998
O15511	Q92747
O15511	P61158
O15511	O15145
O15511	P59998
